id,titulo,argumento,link_libreria
1,"MARKETING EXPERIENCIAL","Introducción. Relaciones de amistad con las marcas. Mi carrera en el mundo del marketing empezó como cofundador de una agencia de marketing juvenil en Montreal, Canadá. Previamente, mis socios y yo habíamos creado un portal en Internet para estudiantes norteameri­canos llamado uPath.com. Nuestra misión consistía en afrontar con realismo las necesidades de los estudiantes y ser compatibles con sus estilos de vida. Yo ocu­paba los cargos de editor jefe y director creativo del portal. Tenía que establecer una buena comunicación con los estudiantes. Para ello, empezamos a patrocinar causas estudiantiles, así como clubes y grupos locales. Dimos ánimo y apoyo a jóvenes escritores y les pagamos debidamente. También empezamos a patrocinar eventos dentro de los campus de las universidades y conciertos fuera de ellos. Para alcanzar a nuestro mercado objetivo era necesario estar donde ellos estaban y proporcionarles experiencias de marca imposibles de ignorar. Nuestro éxito en las universidades no pasó desapercibido. Nuestros clientes dejaron de solicitar anuncios en banners. En su lugar, querían estar físicamente allí, con nosotros. Nuestro acceso a los lugares frecuentados por estudiantes en todo el país, logra­do gracias a nuestros eventos a pie de calle, nos permitía empezar a construir experiencias de marca para los jóvenes consumidores que eran el objetivo de nuestros clientes.",http://www.libreriacuesta.com/detalle/default.asp?mat=6186604
2,"TERMINATOR. EL LEGADO","Nacido de un sueño febril de James Cameron, el implacable Terminator se ha convertido en una leyenda. La película original, Terminatory su secuela, Terminator 2: El juicio final, no sólo catapultaron la carrera de su director, sino que también convirtieron a Arnoid Schwarzenegger en una estrella. Las películas sobre el lado oscuro en la relación entre la humanidad y la tecnología redefinieron los límites entre la ciencia ficción, el terror y la acción, y dieron pie a impresionantes nuevos efectos especiales. Terminator. El legado cuenta la historia detrás de las dos películas esenciales, con nuevas entrevistas a James Cameron, a la productora Gale Ann Hurd y a muchos otros miembros del elenco y el equipo técnico. Además contiene el prólogo del mismo Arnoid Schwarzenegger. Este libro incluye los bocetos del diseño conceptual de Cameron, storyboards anotados, fotografías exclusivas del equipo trabajando, diagramas del T-1000, el maquillaje de Stan Winston y diez reproducciones extraíbles con material inédito de la película.",http://www.libreriacuesta.com/detalle/default.asp?mat=6185972
3,"EL MEDICO HEREJE","Un tiempo de guerras de religión, unas ideas heréticas, un hombre perseguido, un proceso inquisitorial, un juicio injusto, un libro maldito... Los avances del Renacimiento, el descubrimiento de la circulación de la sangre, la persecución de los herejes, la caza de brujas, las hogueras de la Inquisición... A mediados del siglo xvi, en plena Reforma protestante, un hombre retará a todos los poderes religiosos y laicos en defensa de la libertad de conciencia y de opinión. El médico hereje es un relato cargado de intriga, emoción, pasiones, traiciones y denuncias que relata el proceso y ejecución en la hoguera del médico Miguel Servet en 1553. José Luis Corral ha escrito una novela única que te convulsionará.",http://www.libreriacuesta.com/detalle/default.asp?mat=6185987
4,"EL CEREBRO MASCULINO","¿Qué es lo que hace que un hombre sea monógamo o promiscuo? ¿Qué mecanismos cerebrales intervienen en el amor paterno hacia los hijos? ¿Qué pasa por la cabeza de un hombre en sus relaciones afectivas? ¿Por qué las mujeres echan de menos, en muchas ocasiones, la empatía emocional de sus parejas? La autora que nos descubrió los secretos del cerebro femenino completa su investigación sobre el órgano que gobierna nuestras decisiones y deseos, y nos explica ahora los misterios del funcionamiento del cerebro masculino. Un libro que todo hombre, pero también toda mujer, debería leer. Una continuación absolutamente fascinante de El cerebro femenino.",http://www.libreriacuesta.com/detalle/default.asp?mat=6185925
5,"EL CEREBRO FEMENINO","Ofrece un tesoro de información, así como algunas ideas impresionantes. Aunque sea una obra de investigación, el estilo de Brizendine es totalmente accesible. Publishers Weekiy Todo cerebro empieza como cerebro femenino. Sólo se vuelve masculino ocho semanas después de la concepción, cuando el exceso de testosterona disminuye el centro de comunicación, reduce el córtex de la audición y hace dos veces mayor la parte del cerebro que procesa el sexo. La doctora en medicina Louann Brizendine es una neuropsiquiatra precursora que recopila los últimos hallazgos para mostrar que la estructura peculiar del cerebro femenino determina cómo piensan las mujeres, qué es lo que valoran, cómo se comunican y a quién aman. Brizendine reveía las explicaciones neurológicas que dan el porqué.",http://www.libreriacuesta.com/detalle/default.asp?mat=6185926
6,"SI, UNA MUJER PUEDE","Este es un libro donde la mujer encontrará ayuda para identificar las áreas que debe trabajar hasta lograr balance en su vida. La autora parte del criterio de que toda mujer nace para alcanzar éxito, realización y una vida plena; lo fundamental es identificar qué le limita para alcanzarlo. ¡Conviértete en la líder de tu vida!",http://www.libreriacuesta.com/detalle/default.asp?mat=6187412
7,"EL GANADOR SE QUEDA CON TODO","Todos somos conscientes de que los recursos básicos del mundo, las materias primas que sostienen nuestras vidas diarias y nuestras economías, son escasos. Sin embargo, ¿cuántos sabemos lo que eso significa hoy para la economía mundial? El ganador se queda con todo presenta la magnífica investigación que Dambisa Moyo ha realizado para descubrir las realidades que se esconden tras los números. Examina las tendencias actuales en nuestros mercados de productos básicos así como los recientes cambios geopolíticos, y nos revela tanto la verdadera situación del mundo contemporáneo como su evolución en las próximas décadas. Las materias primas impregnan prácticamente todos los aspectos del mundo moderno, desde los complejos energéticos que impulsan el transporte y la red eléctrica hasta el agua necesaria para toda la vida. Desde la tierra para la producción de alimentos hasta la larga lista de minerales sin los que la tecnología dejaría de existir. Lo que Moyo nos muestra es que estamos viviendo unos tiempos sin precedentes. Describe cómo China se ha embarcado en una de las mayores carreras para obtener los recursos básicos que necesita y examina los efectos que ello está teniendo sobre todos nosotros. ¿Dónde está China consiguiendo tierra y agua? ¿Quién está renunciado a su derecho sobre estos valiosos recursos? ¿Cuáles serán los efectos financieros y geopolíticos de todo esto? ¿Es inevitable o podría eludirse un conflicto a gran escala por el control de los recursos básicos? Este libro es una mirada desafiante a los hechos concretos que todos hemos de afrontar si queremos una economía global justa, equilibrada y pacífica para el siglo XXI",http://www.libreriacuesta.com/detalle/default.asp?mat=6185788
8,"CORAZON DE PERRO. LA ISLA PURPURA","Mijaíl Bulgákov fue un magnífico narrador y hombre de teatro. Por ello hemos querido reunir en este volumen una novela breve, Corazón de perro, y una pieza teatral, La Isla Púrpura. La primera relata la transformación de un bondadoso perro callejero en un hombre insufrible, brutal y soez que acaba militando en el Partido Comunista. La segunda cuenta con qué increíbles argumentos un censor convierte una pieza teatral en un auténtico disparate. Las dos obras comparten el talento para la sátira, la parodia y el humor que son propios del estilo de Mijaíl Bulgákov Y ambas reflejan también su compromiso ético e intelectual, una dimensión crítica, política y filosófica que las eleva por encima de su condición de perfecta maquinaria literaria. Estremecedores documentos extraídos de los archivos del KGB, el prólogo de Vitali Shentalinski y el epílogo de Sergio Pitol completan esta edición que muestra, junto a dos obras fundamentales de la trayectoria literaria de Bulgákov, las represalias que sufrió por parte del régimen estalínista.",http://www.libreriacuesta.com/detalle/default.asp?mat=6185806
9,ADULTERIO,"Porque, a pesar de todo, es mejor no vivir que no amar. Una mujer. Un secreto. Una pasión inesperada que trastoca su vida y sus valores. A sus 31 años, Linda tiene todo aquello que muchos sueñan y pocos logran conseguir: una vida perfecta. Un marido que la ama, unos hijos adorables, una exitosa carrera como periodista y una hermosa casa en Ginebra, Suiza. Y de pronto, sin previo aviso, su vida se pinta de sombras y comienza a temer que nada se transforme, o que todo cambie de improviso. Es en este momento cuando reencuentra a Jacob, su antiguo amor de la escuela, que irrumpe en su vida para sacarla de su letargo y hacerla sentir de nuevo esa pasión que creía olvidada. Atenazada entre la culpa y el placer, ella tendrá que encontrar su propia redención.",http://www.libreriacuesta.com/detalle/default.asp?mat=6192270
10,"BUSCANDO A ALASKA","Voy en busca de un Gran quizá."" Miles se siente fascinado por estas últimas palabras del escritor Frangois Rabelais. Aburrido de su monótona existencia, inicia su propia búsqueda y se muda a Alabama para terminar la preparatoria en el internado Culver Creek. Ahí, su recién descubierta libertad y sus nuevos amigos, Chip, Takumi y Alaska, lo lanzan de lleno a la vida. Tiene experiencias nuevas y cada vez está más interesado en la enigmática e impredecible Alaska. Sin embargo, una inesperada enseñanza le mostrará la cara negra del Gran quizá, mientras reverberan en él otras últimas palabras que lo llenan de incertidumbre, las de Simón Bolívar: ""¿Cómp voy a salir de este laberinto?"". Buscando a Alaska, el debut literario del adamado escritor John Green, es una novela intensa y profunda que refíeja la emoción, la angustia y el anhelo que nos acompañan en la búsqueda del sentido de la vida.",http://www.libreriacuesta.com/detalle/default.asp?mat=6192749
